,Total cost,Average manufacturing cost per therapy,Average TRT delay penalty per therapy,Average manufacturing delay penalty per therapy,Average transport cost per therapy,Average QC cost per therapy,Average cost per therapy,Average return time
0,13360059.800000003,107899.39800000003,1859.9999999999845,2630.0,4053.2000000000153,19788.0,133600.59800000003,19.929999999999996
1,13356559.800000003,107889.39800000003,1880.0,2620.0,4008.2,19788.0,133565.59800000003,19.94
2,13382319.800000003,107969.39800000003,1920.0,2700.0,4145.8,19788.0,133823.19800000003,19.960000000000004
3,13427059.800000003,108119.39800000003,2320.0,2850.0,4043.2,19788.0,134270.59800000003,20.16
4,13514939.800000003,108419.39800000003,2840.0,3150.0,4102.0,19788.0,135149.39800000002,20.42
5,13355959.800000003,107889.39800000003,1840.0,2620.0,4042.2,19788.0,133559.59800000003,19.920000000000005
6,13403079.800000003,108039.39800000003,2160.0,2770.0,4043.4,19788.0,134030.79800000004,20.080000000000002
7,13435219.800000003,108149.39800000003,2300.0,2880.0,4114.8,19788.0,134352.19800000003,20.150000000000002
8,13405439.800000003,108049.39800000003,2160.0,2780.0,4057.0,19788.0,134054.39800000002,20.080000000000002
9,13406559.800000003,108049.39800000003,2040.0,2780.0,4188.2,19788.0,134065.59800000003,20.02
10,13445359.800000003,108179.39800000003,2440.0,2910.0,4046.2,19788.0,134453.59800000003,20.220000000000006
11,13428059.800000003,108119.39800000003,2340.0,2850.0,4033.2,19788.0,134280.59800000003,20.17
12,13343699.800000003,107839.39800000003,1840.0,2570.0,3969.6,19788.0,133436.99800000002,19.92
13,13444075.800000003,108179.39800000003,2380.0,2910.0,4093.36,19788.0,134440.75800000003,20.19
14,13425439.800000003,108119.39800000003,2280.0,2850.0,4067.0,19788.0,134254.39800000002,20.140000000000004
15,13556791.800000003,108549.39800000003,3220.0,3280.0,4010.52,19788.0,135567.91800000003,20.61
16,10387846.89999998,77612.4289999998,1800.0,2420.0,4678.04,19788.0,103878.4689999998,19.9
17,13396999.800000006,108019.39800000006,2040.0000000000034,2750.0,4122.6,19788.0,133969.99800000005,20.020000000000003
18,13441379.800000003,108169.39800000003,2380.0,2900.0,4076.4,19788.0,134413.79800000004,20.19
19,13415539.800000003,108079.39800000003,2179.9999999999995,2810.0,4108.0,19788.0,134155.39800000002,20.090000000000003
20,13405499.800000003,108049.39800000003,2160.0,2780.0,4057.6,19788.0,134054.99800000002,20.08
21,13354259.800000003,107879.39800000003,1780.0,2610.0,4095.2,19788.0,133542.59800000003,19.890000000000004
22,13337939.800000003,107829.39800000003,1620.0,2560.0,4142.0,19788.0,133379.39800000002,19.810000000000002
23,13498299.800000003,108359.39800000003,2740.0,3090.0,4095.6,19788.0,134982.99800000002,20.37
24,13409739.800000003,108059.39800000003,2200.0,2790.0,4050.0,19788.0,134097.39800000002,20.099999999999998
25,13483199.800000003,108309.39800000003,2600.0,3040.0,4134.6,19788.0,134831.99800000002,20.299999999999997
26,13462019.800000003,108239.39800000003,2500.0,2970.0,4092.8,19788.0,134620.19800000003,20.25
27,13304139.800000003,107719.39800000003,1380.0,2450.0,4154.0,19788.0,133041.39800000002,19.690000000000005
28,13371539.800000003,107939.39800000003,1860.0,2670.0,4128.0,19788.0,133715.39800000002,19.93
29,13445079.800000003,108179.39800000003,2360.0,2910.0,4123.4,19788.0,134450.79800000004,20.180000000000003
30,13340039.800000003,107829.39800000003,1680.0,2560.0,4103.0,19788.0,133400.39800000002,19.840000000000003
31,13358379.800000003,107889.39800000003,1900.0,2620.0,4006.4,19788.0,133583.79800000004,19.95
32,13448199.800000003,108189.39800000003,2360.0,2920.0,4144.6,19788.0,134481.99800000002,20.180000000000003
33,13371199.800000003,107929.39800000003,1880.0,2660.0,4114.6,19788.0,133711.99800000002,19.94
34,13453899.800000003,108209.39800000003,2460.0,2940.0,4081.6,19788.0,134538.99800000002,20.230000000000004
35,13389279.800000003,107989.39800000003,1960.0,2720.0,4155.4,19788.0,133892.79800000004,19.980000000000004
36,13436199.800000003,108159.39800000003,2380.0,2890.0,4034.6,19788.0,134361.99800000002,20.19
37,13402239.800000003,108039.39800000003,2100.0,2770.0,4095.0,19788.0,134022.39800000002,20.049999999999997
38,13487479.800000003,108319.39800000003,2720.0,3050.0,4047.4,19788.0,134874.79800000004,20.36
39,13423839.800000003,108109.39800000003,2360.0,2840.0,3981.0,19788.0,134238.39800000002,20.179999999999996
40,13393919.800000003,108009.39800000003,2120.0,2740.0,4021.8,19788.0,133939.19800000003,20.060000000000002
41,13366439.800000003,107919.39800000003,1900.0,2650.0,4057.0,19788.0,133664.39800000002,19.95
42,13435539.800000003,108159.39800000003,2360.0,2890.0,4048.0,19788.0,134355.39800000002,20.180000000000003
43,13404599.800000003,108049.39800000003,2100.0,2780.0,4108.6,19788.0,134045.99800000002,20.050000000000004
44,13371039.800000003,107929.39800000003,2000.0,2660.0,3993.0,19788.0,133710.39800000002,19.999999999999996
45,13462399.800000003,108239.39800000003,2580.0,2970.0,4016.6,19788.0,134623.99800000002,20.29
46,13517139.800000003,108429.39800000003,2860.0,3160.0,4094.0,19788.0,135171.39800000002,20.43
47,13385739.800000003,107989.39800000003,1940.0,2720.0,4140.0,19788.0,133857.39800000002,19.97
48,13412639.800000003,108069.39800000003,2160.0,2800.0,4109.0,19788.0,134126.39800000002,20.080000000000002
49,13433511.800000003,108139.39800000003,2380.0,2870.0,4027.72,19788.0,134335.11800000002,20.19
50,13449399.800000003,108189.39800000003,2460.000000000002,2920.0,4056.6,19788.0,134493.99800000002,20.229999999999997
51,13342799.800000003,107839.39800000003,1760.0,2570.0,4040.6,19788.0,133427.99800000002,19.88
52,13432359.800000003,108129.39800000003,2279.9999999999923,2860.0,4126.2,19788.0,134323.59800000003,20.139999999999997
53,13394099.800000003,108009.39800000003,2000.0,2740.0,4143.6,19788.0,133940.99800000002,20.0
54,13348239.800000003,107859.39800000003,1760.0,2590.0,4075.0,19788.0,133482.39800000002,19.880000000000003
55,13350699.800000003,107869.39800000003,1760.0,2600.0,4089.6,19788.0,133506.99800000002,19.880000000000003
56,13345499.800000003,107849.39800000003,1740.0,2580.0,4077.6,19788.0,133454.99800000002,19.87
57,13410799.800000003,108059.39800000003,2120.0,2790.0,4140.6,19788.0,134107.99800000002,20.06
58,13448219.800000003,108189.39800000003,2460.0,2920.0,4044.8,19788.0,134482.19800000003,20.23
59,13357479.800000003,107889.39800000003,1800.0,2620.0,4097.4,19788.0,133574.79800000004,19.9
60,13456819.800000003,108219.39800000003,2500.0,2950.0,4060.8,19788.0,134568.19800000003,20.250000000000004
61,13371955.800000003,107939.39800000003,1820.0,2670.0,4172.16,19788.0,133719.55800000002,19.910000000000004
62,13271439.800000003,107599.39800000003,1240.0,2330.0,4087.0,19788.0,132714.39800000002,19.62
63,13312539.800000003,107739.39800000003,1520.0,2470.0,4078.0,19788.0,133125.39800000002,19.76
64,13321839.800000003,107769.39800000003,1600.0000000000007,2500.0,4061.0,19788.0,133218.39800000002,19.8
65,13317019.800000003,107759.39800000003,1580.0,2490.0,4042.8,19788.0,133170.19800000003,19.789999999999996
66,13448699.800000003,108189.39800000003,2480.0,2920.0,4029.6,19788.0,134486.99800000002,20.240000000000002
67,13426539.800000003,108109.39800000003,2300.0,2840.0,4068.0,19788.0,134265.39800000002,20.150000000000002
68,13369799.800000003,107939.39800000003,1960.0,2670.0,4010.6,19788.0,133697.99800000002,19.980000000000004
69,13392499.800000003,108009.39800000003,2020.0,2740.0,4107.6,19788.0,133924.99800000002,20.01
70,10519990.89999998,78052.4289999998,2760.0,2860.0,4599.48,19788.0,105199.9089999998,20.38
71,13389519.800000003,107999.39800000003,1980.0,2730.0,4127.8,19788.0,133895.19800000003,19.990000000000002
72,13642379.800000003,108839.39800000003,3760.0,3570.0,4036.4,19788.0,136423.79800000004,20.880000000000003
73,13453215.800000003,108209.39800000003,2520.0,2940.0,4014.76,19788.0,134532.15800000002,20.260000000000005
74,13393419.800000003,107999.39800000003,2060.0,2730.0,4086.8,19788.0,133934.19800000003,20.029999999999998
75,13379159.800000003,107959.39800000003,1960.0,2690.0,4084.2,19788.0,133791.59800000003,19.98
76,13376679.800000003,107949.39800000003,1960.0,2680.0,4069.4,19788.0,133766.79800000004,19.98
77,13368195.800000003,107919.39800000003,1960.0,2650.0,4014.56,19788.0,133681.958,19.98
78,13427459.800000003,108119.39800000003,2260.0,2850.0,4107.2,19788.0,134274.59800000003,20.130000000000006
79,13419379.800000003,108099.39800000003,2220.0,2830.0,4086.4,19788.0,134193.79800000004,20.110000000000003
80,13470279.800000003,108269.39800000003,2580.0,3000.0,4065.4,19788.0,134702.79800000004,20.290000000000003
81,13329739.800000003,107799.39800000003,1640.0,2530.0,4070.0,19788.0,133297.39800000002,19.82
82,13515439.800000003,108409.39800000003,2960.0,3140.0,3997.0,19788.0,135154.39800000002,20.48
83,13443279.800000003,108169.39800000003,2280.0,2900.0,4195.4,19788.0,134432.79800000004,20.139999999999997
84,13458739.800000003,108229.39800000003,2620.0,2960.0,3950.0,19788.0,134587.39800000002,20.310000000000002
85,13403299.800000003,108039.39800000003,2160.0,2770.0,4045.6,19788.0,134032.99800000002,20.08
86,13413559.800000003,108079.39800000003,2200.0,2810.0,4068.2,19788.0,134135.59800000003,20.100000000000005
87,13346259.800000003,107849.39800000003,1780.0,2580.0,4045.2,19788.0,133462.59800000003,19.890000000000008
88,13402439.800000003,108039.39800000003,2120.0,2770.0,4077.0,19788.0,134024.39800000002,20.06
89,13463499.800000003,108239.39800000003,2500.0,2970.0,4107.6,19788.0,134634.99800000002,20.25
90,13534039.800000003,108479.39800000003,3040.0,3210.0,4033.0,19788.0,135340.39800000002,20.520000000000003
91,13539019.800000003,108479.39800000003,3060.0,3210.0,4062.8,19788.0,135390.19800000003,20.53
92,13417199.800000003,108079.39800000003,2200.0,2810.0,4104.6,19788.0,134171.99800000002,20.1
93,10465918.89999998,77872.4289999998,2360.0,2680.0,4638.76,19788.0,104659.1889999998,20.180000000000003
94,13490399.800000003,108329.39800000003,2700.0,3060.0,4086.6,19788.0,134903.99800000002,20.35
95,13397019.800000003,108019.39800000003,2059.9999999999995,2750.0,4102.8,19788.0,133970.19800000003,20.029999999999998
