Unnamed: 0,Total cost,Average manufacturing cost per therapy,Average TRT delay penalty per therapy,Average manufacturing delay penalty per therapy,Average transport cost per therapy,Average QC cost per therapy,Average cost per therapy,Average return time
0,58946049.00000056,92976.92000000112,2156.0,2746.0,2971.178,19788.0,117892.09800000112,20.078000000000003
1,59155309.00000056,93116.92000000112,2424.0,2886.0,2981.698,19788.0,118310.61800000112,20.212
2,58719015.00000056,92824.92000000112,1860.0,2594.0,2965.11,19788.0,117438.03000000112,19.930000000000003
3,59062955.00000056,93056.92000000112,2280.0,2826.0,3000.99,19788.0,118125.91000000112,20.14
4,59072864.00000056,93064.92000000112,2348.0,2834.0,2944.808,19788.0,118145.72800000112,20.174
5,58779584.00000056,92872.92000000112,1940.0,2642.0,2958.248,19788.0,117559.16800000113,19.97
6,58988163.00000056,93006.92000000112,2204.0,2776.0,2977.406,19788.0,117976.32600000112,20.102000000000004
7,58797883.00000056,92880.92000000112,1948.0,2650.0,2978.846,19788.0,117595.76600000112,19.973999999999997
8,59158844.00000056,93118.92000000112,2444.0,2888.0,2966.768,19788.0,118317.68800000112,20.222
9,58882838.00000056,92938.92000000112,2044.0,2708.0,2994.756,19788.0,117765.67600000113,20.022
10,58919389.00000056,92960.92000000112,2092.0,2730.0,2997.858,19788.0,117838.77800000113,20.046000000000006
11,58899711.00000056,92950.92000000112,2056.0,2720.0,3004.502,19788.0,117799.42200000113,20.02800000000001
12,58856730.00000056,92918.92000000112,2040.0,2688.0,2966.54,19788.0,117713.46000000113,20.020000000000003
13,59027440.00000056,93024.92000000112,2280.0,2794.0,2961.96,19788.0,118054.88000000113,20.140000000000004
14,58879262.00000056,92928.92000000112,2052.0,2698.0,2989.604,19788.0,117758.52400000113,20.026000000000003
15,58740497.00000056,92840.92000000112,1888.0,2610.0,2964.074,19788.0,117480.99400000113,19.944000000000003
16,58948828.00000056,92974.92000000112,2168.0,2744.0,2966.736,19788.0,117897.65600000112,20.084
