,Total cost,Average manufacturing cost per therapy,Average TRT delay penalty per therapy,Average manufacturing delay penalty per therapy,Average transport cost per therapy,Average QC cost per therapy,Average cost per therapy,Average return time
0,7413409.8000000045,122927.87600000009,1920.0,2620.0,3632.32,19788.0,148268.19600000008,19.96
1,7429945.8000000045,123047.87600000009,2200.0,2740.0,3563.04,19788.0,148598.91600000008,20.1
2,7425289.800000004,123007.87600000009,2039.9999999999811,2700.0,3669.92,19788.0,148505.79600000006,20.019999999999985
3,7437109.8000000045,123087.87600000009,2279.999999999996,2780.0,3586.32,19788.0,148742.19600000008,20.14
4,7523409.8000000045,123667.87600000009,3319.9999999999995,3360.0,3692.32,19788.0,150468.19600000008,20.66
5,7395229.8000000045,122807.87600000009,1719.999999999993,2500.0,3588.72,19788.0,147904.59600000008,19.86
6,7420205.8000000045,122967.87600000009,2040.0,2660.0,3608.24,19788.0,148404.1160000001,20.019999999999996
7,7424869.8000000045,123007.87600000009,1880.0,2700.0,3821.52,19788.0,148497.3960000001,19.94
8,7456421.8000000045,123227.87600000009,2560.0,2920.0,3552.56,19788.0,149128.4360000001,20.28
9,7365269.8000000045,122607.87600000009,1200.0,2300.0,3709.52,19788.0,147305.3960000001,19.6
10,7458109.8000000045,123227.87600000009,2600.0,2920.0,3546.32,19788.0,149162.19600000008,20.3
11,7379529.8000000045,122707.87600000009,1400.0000000000007,2400.0,3694.72,19788.0,147590.59600000008,19.700000000000003
12,7427301.8000000045,123027.87600000009,2200.0,2720.0,3530.16,19788.0,148546.03600000008,20.099999999999998
13,7444169.8000000045,123127.87600000009,2240.0,2820.0,3727.52,19788.0,148883.3960000001,20.12
14,7403529.8000000045,122867.87600000009,1760.0,2560.0,3654.72,19788.0,148070.59600000008,19.88
15,7398309.8000000045,122827.87600000009,1760.0,2520.0,3590.32,19788.0,147966.19600000008,19.88
16,7479489.8000000045,123387.87600000009,2880.0,3080.0,3533.92,19788.0,149589.7960000001,20.44
17,7345849.800000003,122487.87600000009,1119.999999999972,2180.0,3521.1199999999994,19788.0,146916.99600000004,19.559999999999985
18,7445409.8000000045,123147.87600000009,2160.0,2840.0,3812.32,19788.0,148908.19600000008,20.08
19,7416269.8000000045,122967.87600000009,1920.0,2660.0,3649.52,19788.0,148325.3960000001,19.960000000000004
20,7428005.8000000045,123027.87600000009,2000.0,2720.0,3744.24,19788.0,148560.1160000001,19.999999999999996
21,7366585.8000000045,122627.87600000009,1320.0,2320.0,3595.84,19788.0,147331.7160000001,19.659999999999997
22,7455409.8000000045,123207.87600000009,2400.0,2900.0,3712.32,19788.0,149108.19600000008,20.2
23,7420469.8000000045,122967.87600000009,1920.0,2660.0,3733.52,19788.0,148409.3960000001,19.959999999999997
24,7426305.8000000045,123027.87600000009,2160.0,2720.0,3550.24,19788.0,148526.1160000001,20.08
25,7409473.8000000045,122907.87600000009,1839.9999999999993,2600.0,3653.6,19788.0,148189.47600000008,19.919999999999998
26,7403509.8000000045,122867.87600000009,2000.0000000000023,2560.0,3414.32,19788.0,148070.19600000008,20.0
27,7429469.8000000045,123027.87600000009,2080.0,2720.0,3693.52,19788.0,148589.3960000001,20.04
28,7421493.8000000045,122987.87600000009,1960.0,2680.0,3694.0,19788.0,148429.87600000008,19.98
29,7430133.8000000045,123047.87600000009,2200.0,2740.0,3566.8,19788.0,148602.6760000001,20.099999999999998
30,7413409.8000000045,122927.87600000009,1880.0,2620.0,3672.32,19788.0,148268.19600000008,19.939999999999998
31,7481889.800000006,123387.87600000009,2800.0000000000305,3080.0,3661.92,19788.0,149637.79600000012,20.400000000000016
32,7423349.8000000045,123007.87600000009,2039.999999999999,2700.0,3631.12,19788.0,148466.9960000001,20.020000000000003
33,7415573.8000000045,122947.87600000009,1800.0,2640.0,3775.6,19788.0,148311.47600000008,19.9
34,7400529.8000000045,122847.87600000009,1680.0,2540.0,3694.7200000000007,19788.0,148010.59600000008,19.840000000000003
35,7470409.800000004,123307.87600000009,2319.999999999986,3000.0,3992.32,19788.0,149408.19600000008,20.159999999999993
36,7355249.8000000045,122547.87600000009,1200.0,2240.0,3569.12,19788.0,147104.9960000001,19.600000000000005
37,7424745.8000000045,123007.87600000009,2000.0,2700.0,3699.04,19788.0,148494.91600000008,20.0
38,7436249.8000000045,123087.87600000009,2320.0,2780.0,3529.12,19788.0,148724.9960000001,20.16
39,7417289.8000000045,122947.87600000009,1960.0,2640.0,3649.92,19788.0,148345.7960000001,19.979999999999997
40,7418385.8000000045,122967.87600000009,2040.0,2660.0,3571.84,19788.0,148367.7160000001,20.019999999999996
41,7456749.8000000045,123227.87600000009,2520.0,2920.0,3599.12,19788.0,149134.9960000001,20.259999999999998
42,7504413.8000000045,123547.87600000009,2840.0,3240.0,3912.4,19788.0,150088.2760000001,20.419999999999998
43,7377109.8000000045,122687.87600000009,1480.0,2380.0,3586.32,19788.0,147542.19600000008,19.74
44,7425589.8000000045,123007.87600000009,2000.0,2700.0,3715.92,19788.0,148511.7960000001,20.0
45,7559993.800000012,123907.87600000015,3920.0000000000964,3600.0,3584.0000000000023,19788.0,151199.87600000025,20.96000000000005
46,7474385.8000000045,123347.87600000009,2759.9999999999945,3040.0,3591.84,19788.0,149487.7160000001,20.379999999999995
47,7388529.8000000045,122767.87600000009,1520.0,2460.0,3694.72,19788.0,147770.59600000008,19.76
48,7466213.8000000045,123287.87600000009,2600.0,2980.0,3648.4,19788.0,149324.2760000001,20.3
49,7505429.8000000045,123547.87600000009,3120.0,3240.0,3652.72,19788.0,150108.59600000008,20.560000000000002
50,7405289.8000000045,122867.87600000009,1800.0,2560.0,3649.92,19788.0,148105.7960000001,19.9
51,7407273.8000000045,122887.87600000009,1800.0,2580.0,3669.6,19788.0,148145.47600000008,19.900000000000002
52,7441369.8000000045,123127.87600000009,2200.0,2820.0,3711.52,19788.0,148827.3960000001,20.099999999999998
