Unnamed: 0,Total cost,Average manufacturing cost per therapy,Average TRT delay penalty per therapy,Average manufacturing delay penalty per therapy,Average transport cost per therapy,Average QC cost per therapy,Average cost per therapy,Average return time
0,51381988.8,77938.43160000001,2040.0,2746.0,2997.546,19788.0,102763.9776,20.020000000000003
1,49968684.69999979,75070.73339999958,2220.0,2886.0,2858.636,19788.0,99937.36939999956,20.110000000000003
2,51155300.8,77786.43160000001,1816.0,2594.0,2920.17,19788.0,102310.6016,19.90800000000001
3,49868748.69999979,75010.73339999958,2036.0,2826.0,2902.764,19788.0,99737.49739999956,20.018
4,49884236.699999794,75018.73339999959,2080.0,2834.0,2881.74,19788.0,99768.4733999996,20.040000000000003
5,49586992.69999979,74826.73339999958,1656.0,2642.0,2903.252,19788.0,99173.98539999955,19.828000000000003
6,49813300.699999794,74960.73339999959,2016.0,2776.0,2861.868,19788.0,99626.6013999996,20.008000000000003
7,51234882.8,77842.43160000001,1864.0,2650.0,2975.334,19788.0,102469.7656,19.932
8,49981804.699999794,75072.73339999959,2248.0,2888.0,2854.876,19788.0,99963.6093999996,20.124
9,49696776.69999979,74892.73339999958,1860.0,2708.0,2852.82,19788.0,99393.55339999955,19.930000000000003
10,49744092.699999794,74914.73339999959,1932.0,2730.0,2853.452,19788.0,99488.1853999996,19.966
11,49724280.699999794,74904.73339999959,1880.0,2720.0,2875.828,19788.0,99448.56139999958,19.94
12,49668600.69999979,74872.73339999958,1808.0,2688.0,2868.468,19788.0,99337.20139999955,19.904000000000003
13,51465833.8,77986.43160000001,2208.0,2794.0,2949.236,19788.0,102931.66760000002,20.104
14,49683424.69999979,74882.73339999958,1816.0,2698.0,2880.116,19788.0,99366.84939999956,19.908000000000005
15,49545764.69999979,74794.73339999958,1604.0,2610.0,2904.796,19788.0,99091.52939999958,19.802
16,51387307.8,77936.43160000001,2080.0,2744.0,2970.184,19788.0,102774.6156,20.04
17,50159524.699999794,75200.73339999959,2464.0,3016.0,2866.316,19788.0,100319.04939999958,20.232000000000003
18,49780144.69999979,74942.73339999958,1976.0,2758.0,2853.556,19788.0,99560.28939999956,19.988000000000003
19,49849888.69999979,74986.73339999958,2052.0,2802.0,2873.044,19788.0,99699.77739999956,20.026000000000003
20,49784148.69999979,74946.73339999958,1972.0,2762.0,2861.564,19788.0,99568.29739999956,19.985999999999997
21,51448867.8,77974.43160000001,2220.0,2782.0,2915.304,19788.0,102897.7356,20.110000000000003
22,49951028.69999979,75058.73339999958,2200.0,2874.0,2855.324,19788.0,99902.05739999955,20.10000000000001
23,49880600.69999979,75016.73339999958,2064.0,2832.0,2892.468,19788.0,99761.20139999955,20.032
24,49949428.69999979,75062.73339999958,2152.0,2878.0,2896.124,19788.0,99898.85739999956,20.076
25,49890128.69999979,75018.73339999958,2104.0,2834.0,2869.524,19788.0,99780.25739999958,20.052
26,49686608.69999979,74886.73339999958,1828.0,2702.0,2870.484,19788.0,99373.21739999956,19.914
27,49643832.69999979,74850.73339999958,1816.0,2666.0,2832.932,19788.0,99287.66539999958,19.908000000000005
28,49784188.699999794,74946.73339999959,1956.0,2762.0,2877.644,19788.0,99568.3773999996,19.978
29,51442109.8,77974.43160000001,2155.999999999999,2782.0,2965.788,19788.0,102884.2196,20.078
30,49834640.69999979,74984.73339999958,2004.0,2800.0,2892.548,19788.0,99669.28139999956,20.002
31,51400348.8,77946.43160000001,2108.0,2754.0,2958.266,19788.0,102800.6976,20.05400000000001
32,49886512.69999979,75014.73339999958,2096.0,2830.0,2874.292,19788.0,99773.02539999958,20.048000000000005
33,50140728.699999794,75190.73339999959,2440.0,3006.0,2862.724,19788.0,100281.4573999996,20.22
34,49756416.69999979,74932.73339999958,1920.0,2748.0,2872.100000000002,19788.0,99512.83339999957,19.960000000000004
35,49660992.699999794,74868.73339999959,1788.0,2684.0,2877.252,19788.0,99321.98539999958,19.893999999999995
36,54296486.70000001,83973.82540000002,1956.0,2766.0,2875.148,19788.0,108592.97340000002,19.978
37,49735920.69999979,74916.73339999958,1876.0,2732.0,2891.108,19788.0,99471.84139999955,19.938
38,49777564.69999979,74938.73339999958,1980.0,2754.0,2848.396,19788.0,99555.12939999955,19.99000000000001
39,54128658.70000001,83865.82540000002,1736.0,2658.0,2867.492,19788.0,108257.3174,19.868
40,49849280.69999979,74992.73339999958,2016.0,2808.0,2901.828,19788.0,99698.56139999955,20.008
41,49593920.69999979,74822.73339999958,1704.0,2638.0,2873.108,19788.0,99187.84139999955,19.852
42,51432387.8,77962.4316,2192.0,2770.0,2922.344,19788.0,102864.7756,20.096
43,51336347.8,77906.43160000001,2048.0,2714.0,2930.264,19788.0,102672.6956,20.024
44,49926932.69999979,75052.73339999958,2104.0,2868.0,2909.132,19788.0,99853.86539999956,20.051999999999996
45,49577732.69999979,74810.73339999958,1664.0,2626.0,2892.732,19788.0,99155.46539999958,19.831999999999997
46,49922188.69999979,75046.73339999958,2116.0,2862.0,2893.644,19788.0,99844.37739999958,20.058000000000003
47,49621120.69999979,74838.73339999958,1764.0,2654.0,2851.508,19788.0,99242.24139999958,19.882000000000005
0,51470207.8,78000.43160000001,2184.0,2808.0,2967.984,19788.0,102940.4156,20.092
1,49728264.69999979,74912.73339999958,1900.0,2728.0,2855.796,19788.0,99456.52939999958,19.95
2,50017632.69999979,75104.73339999958,2260.0,2920.0,2882.532,19788.0,100035.26539999955,20.13
3,49805896.69999979,74964.73339999958,1992.0,2780.0,2867.06,19788.0,99611.79339999956,19.996
4,49727524.69999979,74910.73339999958,1876.0,2726.0,2880.316,19788.0,99455.04939999957,19.938
5,49976540.699999794,75068.73339999959,2216.0,2884.0,2880.348,19788.0,99953.0813999996,20.108
6,54250858.70000001,83947.82540000002,1900.0,2740.0,2865.892,19788.0,108501.71740000002,19.95
7,54405548.70000001,84049.82540000002,2100.0,2842.0,2873.272,19788.0,108811.09740000004,20.049999999999997
8,51194251.8,77812.43160000001,1840.0,2620.0,2948.072,19788.0,102388.5036,19.92
9,49896120.69999979,75022.73339999958,2100.0,2838.0,2881.508,19788.0,99792.24139999958,20.05
10,49856504.699999794,74996.73339999959,2064.0,2812.0,2864.276,19788.0,99713.0093999996,20.032000000000004
11,51194284.8,77808.43160000001,1824.0,2616.0,2968.138,19788.0,102388.5696,19.912000000000003
12,49893144.69999979,75024.73339999958,2100.0,2840.0,2873.556,19788.0,99786.28939999956,20.05
13,49840808.69999979,74992.73339999958,2020.0,2808.0,2880.884,19788.0,99681.61739999958,20.010000000000005
14,49824528.69999979,74972.73339999958,2044.0,2788.0,2844.324,19788.0,99649.05739999955,20.022
15,51260166.8,77852.43160000001,1904.0,2660.0,2975.902,19788.0,102520.3336,19.951999999999995
16,49648636.69999979,74862.73339999958,1784.0,2678.0,2862.54,19788.0,99297.27339999955,19.892000000000007
17,49735948.69999979,74914.73339999958,1896.0,2730.0,2873.164,19788.0,99471.89739999958,19.948000000000004
18,49831756.69999979,74984.73339999958,2000.0,2800.0,2890.78,19788.0,99663.51339999956,20.000000000000004
19,51449124.8,77980.43160000001,2168.0,2788.0,2961.818,19788.0,102898.2496,20.084000000000003
20,51476467.8,77994.43160000001,2236.0,2802.0,2934.504,19788.0,102952.9356,20.118
21,49511076.69999979,74766.73339999958,1592.0,2582.0,2875.42,19788.0,99022.15339999956,19.796000000000003
22,49762996.699999794,74936.73339999959,1916.0,2752.0,2885.26,19788.0,99525.99339999958,19.958
23,51351687.8,77918.43160000001,2012.0,2726.0,2984.944,19788.0,102703.3756,20.006000000000007
24,49716528.69999979,74904.73339999958,1860.0,2720.0,2880.324,19788.0,99433.05739999955,19.93
25,51122351.8,77762.43160000001,1720.0,2570.0,2974.272,19788.0,102244.7036,19.860000000000003
26,51533145.8,78042.43160000001,2320.0,2850.0,2915.86,19788.0,103066.2916,20.160000000000004
27,51254147.8,77850.43160000001,1944.0,2658.0,2925.864,19788.0,102508.2956,19.972
