,Total cost,Average manufacturing cost per therapy,Average TRT delay penalty per therapy,Average manufacturing delay penalty per therapy,Average transport cost per therapy,Average QC cost per therapy,Average cost per therapy,Average return time
0,14157586.790000003,113162.86790000003,3480.0,2630.0,4155.6,20777.4,141575.86790000004,20.740000000000006
1,14150186.790000003,113152.86790000003,3420.0,2620.0,4151.6,20777.4,141501.86790000004,20.710000000000004
2,13855107.994000003,111127.47994000003,3000.0,2700.0,4041.96,20381.64,138551.07994000003,20.500000000000007
3,14061169.392000003,112330.17392000003,3560.0,2850.0,4142.0,20579.52,140611.69392000002,20.78
4,14625041.586000003,115788.25586000003,5140.0,3150.0,4149.0,21173.16,146250.41586000004,21.57
5,14309564.188000003,114205.56188000002,3740.0,2620.0,4174.8,20975.28,143095.64188000004,20.87
6,14672230.984000003,116460.94984000003,4800.0,2770.0,4090.32,21371.04,146722.30984000003,21.4
7,13913971.994000003,111307.47994000003,3360.0,2880.0,4090.6,20381.64,139139.71994000004,20.680000000000003
8,14674118.984000003,116470.94984000003,4780.0,2780.0,4119.2,21371.04,146741.18984000004,21.39
9,14359504.188000003,114365.56188000002,4040.0,2780.0,4214.2,20975.28,143595.04188000003,21.02
10,14236846.790000003,113442.86790000003,4000.0,2910.0,4148.2,20777.4,142368.46790000002,21.000000000000004
11,13743214.596000003,110224.78596000002,2920.0,2850.0,4103.6,20183.76,137432.14596000002,20.460000000000004
12,13819111.994000003,110997.47994000003,2840.0,2570.0,3972.0,20381.64,138191.11994000003,20.42
13,13920751.994000003,111337.47994000003,3300.0,2910.0,4188.4,20381.64,139207.51994000003,20.650000000000002
14,14217702.790000003,113382.86790000003,3940.0,2850.0,4076.76,20777.4,142177.02790000002,20.970000000000002
15,14510364.188000003,114865.56188000002,5040.0,3280.0,4222.8,20975.28,145103.64188000004,21.52
16,14093506.790000003,112952.86790000003,3140.0,2420.0,4064.8,20777.4,140935.06790000002,20.57
17,14031209.392000003,112230.17392000003,3320.0,2750.0,4182.4,20579.52,140312.09392,20.660000000000004
18,13918971.994000003,111327.47994000003,3340.0,2900.0,4140.6,20381.64,139189.71994000004,20.669999999999998
19,13892811.994000003,111237.47994000003,3160.0,2810.0,4149.0,20381.64,138928.11994000003,20.580000000000002
20,14202346.790000003,113312.86790000003,3760.0,2780.0,4173.2,20777.4,142023.46790000002,20.880000000000003
21,14308124.188000003,114195.56188000002,3640.0,2610.0,4270.4,20975.28,143081.24188000002,20.820000000000004
22,13975109.392000003,112040.17392000003,2900.0,2560.0,4231.4,20579.52,139751.09392,20.450000000000003
23,13973431.994000003,111517.47994000003,3680.0,3090.0,4155.2,20381.64,139734.31994000002,20.84
24,13884371.994000003,111217.47994000003,3140.0,2790.0,4104.6,20381.64,138843.71994000004,20.57
25,14433664.188000003,114625.56188000002,4540.0,3040.0,4195.8,20975.28,144336.64188000004,21.27
26,14257866.790000003,113502.86790000003,4080.0,2970.0,4218.4,20777.4,142578.66790000003,21.040000000000003
27,13783111.994000003,110877.47994000003,2380.0,2450.0,4192.0,20381.64,137831.11994000003,20.190000000000005
