Unnamed: 0,Total cost,Average manufacturing cost per therapy,Average TRT delay penalty per therapy,Average manufacturing delay penalty per therapy,Average transport cost per therapy,Average QC cost per therapy,Average cost per therapy,Average return time
0,62394275.08000056,97308.00416000112,3724.0,2746.0,3018.722,20737.824,124788.55016000112,20.862
1,62893213.92000057,97808.92784000114,4096.0,2886.0,3064.524,20816.976,125786.42784000114,21.048
2,63031287.600000575,98238.77520000115,3796.0,2594.0,3052.52,20975.28,126062.57520000116,20.898000000000007
3,62234112.240000576,97027.08048000115,3768.0,2826.0,3014.472,20658.672,124468.22448000115,20.884
4,62671249.00000057,97576.46600000116,3984.0,2834.0,3004.632,20777.4,125342.49800000114,20.992
5,63237910.52000058,98467.23704000116,3924.0,2642.0,3069.728,21014.856,126475.82104000116,20.962000000000003
6,62433210.08000057,97338.00416000116,3784.0,2776.0,3006.592,20737.824,124866.42016000114,20.892000000000003
7,61098179.72000057,95768.30944000116,3032.0,2650.0,2974.834,20421.216,122196.35944000116,20.516
8,62170761.32000057,96908.61864000114,3816.0,2888.0,2997.808,20619.096,124341.52264000112,20.908
9,63057803.68000058,98172.31336000116,3984.000000000001,2708.0,3023.59,20935.704,126115.60736000116,20.992
10,62514015.00000058,97472.46600000116,3748.0,2730.0,3030.164,20777.4,125028.03000000116,20.874
11,61205492.720000565,95838.30944000112,3132.0000000000005,2720.0,3019.46,20421.216,122410.98544000112,20.566
12,62445728.00000057,97430.46600000116,3628.0,2688.0,3055.59,20777.4,124891.45600000114,20.814
13,63633684.44000056,98799.69888000112,4344.0,2794.0,3069.238,21054.432,127267.36888000112,21.172000000000004
14,61612920.48000056,96357.69496000111,3300.0,2698.0,3028.202,20539.944,123225.84096000112,20.65
15,61473522.48000056,96269.69496000111,3116.0,2610.0,3021.406,20539.944,122947.0449600011,20.558
16,62400335.08000056,97306.00416000112,3720.0,2744.0,3036.842,20737.824,124800.67016000111,20.86
17,63518390.680000566,98480.31336000114,4604.0,3016.0,3016.764,20935.704,127036.78136000111,21.302000000000003
18,62555867.00000058,97500.46600000116,3808.000000000001,2758.0,3025.868,20777.4,125111.73400000116,20.904000000000007
19,61338865.720000565,95920.30944000112,3320.0,2802.0,3016.206,20421.216,122677.73144000112,20.660000000000004
20,62705819.920000575,97684.92784000115,3864.0,2762.0,3045.736,20816.976,125411.63984000115,20.931999999999995
21,63451537.52000058,98607.23704000116,4268.0,2782.0,3012.982,21014.856,126903.07504000116,21.134000000000004
22,62871245.92000056,97796.92784000112,4124.0,2874.0,3004.588,20816.976,125742.49184000112,21.06200000000001
23,63671159.44000057,98837.69888000116,4460.0,2832.0,2990.188,21054.432,127342.31888000114,21.229999999999997
24,64329703.12000058,99605.54624000116,4768.0,2878.0,3073.124,21212.736,128659.40624000116,21.384
25,63380351.600000575,98478.77520000115,4276.0,2834.0,3030.648,20975.28,126760.70320000115,21.138
26,62757080.840000585,97805.38968000116,3820.0,2702.0,3032.22,20856.552,125514.16168000115,20.91
27,60977725.80000056,95603.84760000111,2992.0,2666.0,2977.964,20381.64,121955.4516000011,20.496
28,62860372.840000585,97865.38968000116,3980.000000000001,2762.0,3018.804,20856.552,125720.74568000116,20.99
29,63306370.600000575,98426.77520000115,4232.0,2782.0,2978.686,20975.28,126612.74120000115,21.115999999999996
30,62468729.08000058,97362.00416000116,3804.0,2800.0,3033.63,20737.824,124937.45816000116,20.902
31,63269329.600000575,98398.77520000115,4128.0,2754.0,3036.604,20975.28,126538.65920000114,21.064
32,62958997.84000058,97933.38968000116,4096.0,2830.0,3032.054,20856.552,125917.99568000116,21.048
33,63653641.60000056,98650.77520000112,4640.0,3006.0,3041.228,20975.28,127307.28320000113,21.32
34,61824229.40000058,96588.15680000116,3504.0,2748.0,2976.782,20579.52,123648.45880000116,20.752
35,61871253.320000574,96704.61864000116,3400.0,2684.0,3018.792,20619.096,123742.50664000114,20.7
36,61711207.48000056,96425.69496000111,3488.0,2766.0,2968.776,20539.944,123422.41496000112,20.744
37,62941970.76000056,98015.85152000112,3948.0,2732.0,3023.962,20896.128,125883.94152000111,20.973999999999997
38,62695454.920000575,97676.92784000115,3896.0,2754.0,3001.006,20816.976,125390.90984000116,20.948000000000004
39,61842644.320000574,96678.61864000116,3356.0,2658.0,3031.574,20619.096,123685.28864000116,20.678
40,63061804.76000056,98091.85152000112,4100.0,2808.0,3035.63,20896.128,126123.60952000112,21.05
41,62659445.840000555,97741.38968000111,3632.0,2638.0,3088.95,20856.552,125318.8916800011,20.815999999999995
42,62148750.24000057,96971.08048000114,3632.0,2770.0,3035.748,20658.672,124297.50048000114,20.816
43,63362593.520000584,98539.23704000116,4124.000000000001,2714.0,3047.094,21014.856,126725.18704000115,21.062
44,61998787.40000057,96708.15680000116,3712.0,2868.0,2997.898,20579.52,123997.57480000114,20.855999999999995
45,62361061.00000058,97368.46600000116,3560.0,2626.0,3016.256,20777.4,124722.12200000117,20.78
46,62431437.16000058,97243.54232000116,3904.0,2862.0,3017.084,20698.248,124862.87432000117,20.952
47,63264581.520000584,98479.23704000116,4004.0,2654.0,3031.07,21014.856,126529.16304000116,21.002
0,59033437.00000056,93038.92000000112,2292.0,2808.0,2947.954,19788.0,118066.87400000112,20.146
1,58919703.00000056,92958.92000000112,2148.0,2728.0,2944.486,19788.0,117839.40600000112,20.074
2,59209936.00000056,93150.92000000112,2532.000000000002,2920.0,2948.952,19788.0,118419.87200000112,20.266
3,58988491.00000056,93010.92000000112,2212.0,2780.0,2966.062,19788.0,117976.98200000112,20.106
4,58910796.00000056,92956.92000000112,2084.0,2726.0,2992.672,19788.0,117821.59200000112,20.042
5,59160362.00000056,93114.92000000112,2472.0,2884.0,2945.804,19788.0,118320.72400000112,20.236
6,58937643.00000056,92970.92000000112,2160.0,2740.0,2956.366,19788.0,117875.28600000111,20.080000000000005
7,59093424.00000056,93072.92000000112,2360.0,2842.0,2965.928,19788.0,118186.84800000112,20.18
8,58751970.00000056,92850.92000000112,1900.0,2620.0,2965.02,19788.0,117503.94000000112,19.95
9,59082391.00000056,93068.92000000112,2336.0,2838.0,2971.862,19788.0,118164.78200000113,20.168
10,59044403.00000056,93042.92000000112,2304.0,2812.0,2953.886,19788.0,118088.80600000112,20.152000000000005
11,58752902.00000056,92846.92000000112,1916.0,2616.0,2954.884,19788.0,117505.80400000112,19.958
12,59081311.00000056,93070.92000000112,2320.0,2840.0,2983.702,19788.0,118162.62200000112,20.16
13,59031776.00000056,93038.92000000112,2260.0,2808.0,2976.632,19788.0,118063.55200000112,20.13000000000001
14,59008910.00000056,93018.92000000112,2244.0,2788.0,2966.9,19788.0,118017.82000000111,20.122000000000003
15,58823582.00000056,92890.92000000112,2028.0,2660.0,2940.244,19788.0,117647.16400000112,20.014
16,58841578.00000056,92908.92000000112,2036.0,2678.0,2950.236,19788.0,117683.15600000112,20.018000000000004
17,58918656.00000056,92960.92000000112,2076.0,2730.0,3012.392,19788.0,117837.31200000113,20.038000000000004
18,59025483.00000056,93030.92000000112,2252.0,2800.0,2980.046,19788.0,118050.96600000112,20.126
19,59008809.00000056,93018.92000000112,2252.0,2788.0,2958.698,19788.0,118017.61800000112,20.126
20,59029962.00000056,93032.92000000112,2220.0,2802.0,3019.004,19788.0,118059.92400000112,20.11
21,58699743.00000056,92812.92000000112,1824.0,2582.0,2974.566,19788.0,117399.48600000112,19.912
22,58955216.00000056,92982.92000000112,2184.0,2752.0,2955.512,19788.0,117910.43200000112,20.091999999999995
23,58916456.00000056,92956.92000000112,2124.0,2726.0,2963.992,19788.0,117832.91200000112,20.062000000000005
24,58907171.00000056,92950.92000000112,2120.0,2720.0,2955.422,19788.0,117814.34200000112,20.06
25,58681136.00000056,92800.92000000112,1776.0,2570.0,2997.352,19788.0,117362.27200000112,19.888
26,59098850.00000056,93080.92000000112,2360.0,2850.0,2968.78,19788.0,118197.70000000112,20.180000000000003
27,58818989.00000056,92888.92000000112,2016.0,2658.0,2945.058,19788.0,117637.97800000112,20.008
28,58694037.00000056,92810.92000000112,1824.0,2580.0,2965.154,19788.0,117388.07400000111,19.912000000000003
29,58805756.00000056,92882.92000000112,1956.0,2652.0,2984.592,19788.0,117611.51200000112,19.978
30,59031523.00000056,93036.92000000112,2264.0,2806.0,2974.126,19788.0,118063.04600000112,20.132
31,59167063.00000056,93124.92000000112,2472.0,2894.0,2949.206,19788.0,118334.12600000112,20.236
32,58969523.00000056,92994.92000000112,2212.0,2764.0,2944.126,19788.0,117939.04600000112,20.106000000000005
33,58896282.00000056,92942.92000000112,2080.0,2712.0,2981.644,19788.0,117792.56400000112,20.04
34,58814583.00000056,92892.92000000112,1952.0,2662.0,2996.246,19788.0,117629.16600000112,19.976
35,59131489.00000056,93100.92000000112,2400.0,2870.0,2974.058,19788.0,118262.97800000112,20.2
36,58877256.00000056,92930.92000000112,2064.0,2700.0,2971.592,19788.0,117754.51200000112,20.032000000000004
37,58976224.00000056,93000.92000000112,2176.0,2770.0,2987.528,19788.0,117952.44800000112,20.088
38,58950865.00000056,92982.92000000112,2168.0,2752.0,2962.81,19788.0,117901.73000000112,20.084000000000003
39,58705370.00000056,92818.92000000112,1824.0,2588.0,2979.82,19788.0,117410.74000000113,19.912000000000003
40,58905941.00000056,92946.92000000112,2108.0,2716.0,2968.962,19788.0,117811.88200000112,20.05400000000001
41,58919462.00000056,92960.92000000112,2096.0,2730.0,2994.004,19788.0,117838.92400000112,20.048
42,59099109.00000056,93078.92000000112,2368.0,2848.0,2963.298,19788.0,118198.21800000111,20.184000000000005
43,58979863.00000056,92998.92000000112,2232.0,2768.0,2940.806,19788.0,117959.72600000112,20.116
44,59025922.00000056,93030.92000000112,2236.0,2800.0,2996.924,19788.0,118051.84400000112,20.11800000000001
45,59032489.00000056,93032.92000000112,2260.0,2802.0,2984.058,19788.0,118064.97800000112,20.13000000000001
46,59090409.00000056,93072.92000000112,2332.0,2842.0,2987.898,19788.0,118180.81800000112,20.166
47,58815083.00000056,92892.92000000112,1920.0,2662.0,3029.246,19788.0,117630.16600000112,19.960000000000004
