,Total cost,Average manufacturing cost per therapy,Average TRT delay penalty per therapy,Average manufacturing delay penalty per therapy,Average transport cost per therapy,Average QC cost per therapy,Average cost per therapy,Average return time
0,30398306.37599996,91968.44950399984,4392.0,2700.0,4257.496,20975.28,121593.22550399984,21.19600000000001
1,30366533.857599963,91771.58743039986,4616.0,2840.0,4182.42,20896.128,121466.13543039985,21.30800000000001
2,31367653.00479995,94326.48401919981,5392.0,2700.0,4222.784,21529.344,125470.6120191998,21.69600000000001
3,29926083.302399963,90721.00120959985,4192.0,2800.0,4132.66,20658.672,119704.33320959985,21.096000000000007
4,30075670.302399963,90929.00120959985,4536.0,3008.0,4179.008,20658.672,120302.68120959985,21.26800000000001
5,29954899.302399967,90761.00120959987,4224.0,2840.0,4175.924,20658.672,119819.59720959987,21.11200000000001
6,29903879.302399967,90693.00120959987,4096.0,2772.0,4167.844,20658.672,119615.51720959987,21.04800000000001
7,29545581.747199968,89762.41498879986,3752.0,2852.0,4246.696,20421.216,118182.32698879988,20.87600000000001
8,29645558.265599966,90047.27706239987,3832.0,2800.0,4202.588,20500.368,118582.23306239987,20.91600000000001
9,30048749.30239996,90893.00120959984,4464.0,2972.0,4179.324,20658.672,120194.99720959984,21.23200000000001
10,30424948.89439996,92149.31157759984,4256.0,2544.0,4240.052,21054.432,121699.79557759984,21.128000000000007
11,27268485.93119988,79155.07572479946,5032.000000000298,2928.0,3990.739999999707,20896.128,109073.94372479951,21.516000000000158
12,31021808.967999954,93564.75987199982,4952.0,2612.0,4199.436,21371.04,124087.23587199982,21.476000000000006
13,30058237.82079996,91053.86328319984,4168.0,2796.0,4273.264,20737.824,120232.95128319984,21.08400000000001
14,30379797.857599966,91791.58743039987,4624.0,2860.0,4207.476,20896.128,121519.19143039986,21.312000000000005
15,30139666.339199964,91314.72535679986,4224.0,2720.0,4202.964,20816.976,120558.66535679986,21.11200000000001
16,29984965.82079997,90961.86328319987,4080.0,2704.0,4160.176,20737.824,119939.86328319987,21.04000000000001
17,29607302.26559997,89995.27706239988,3775.9999999999995,2748.0,4157.564,20500.368,118429.20906239988,20.888000000000012
