Unnamed: 0,Total cost,Average manufacturing cost per therapy,Average TRT delay penalty per therapy,Average manufacturing delay penalty per therapy,Average transport cost per therapy,Average QC cost per therapy,Average cost per therapy,Average return time
0,54471372.15839996,81547.66831679993,3628.0,2746.0,3029.252,20737.824,108942.74431679992,20.814
1,53237915.768399864,78824.33953679973,3892.0,2886.0,2942.516,20816.976,106475.83153679971,20.946
2,53296038.70199987,79109.81740399974,3564.0,2594.0,2942.98,20975.28,106592.07740399976,20.782000000000007
3,52629772.83479985,78186.86166959969,3456.0,2826.0,2958.012,20658.672,105259.5456695997,20.728
4,53016251.034999855,78627.9700699997,3668.0,2834.0,2959.132,20777.4,106032.50206999973,20.834
5,53482847.43539986,79302.18687079972,3692.0,2642.0,2956.652,21014.856,106965.69487079972,20.846
6,54523586.15839997,81577.66831679994,3752.0,2776.0,2979.68,20737.824,109047.17231679994,20.876
7,51609384.43439983,77144.64486879966,2728.0,2650.0,2924.908,20421.216,103218.76886879966,20.363999999999997
8,54293093.86359995,81238.51372719991,3724.0,2888.0,3004.578,20619.096,108586.18772719993,20.862
9,53325473.968599856,79079.44793719971,3696.0,2708.0,2939.796,20935.704,106650.94793719971,20.848000000000003
10,52888907.03499986,78523.97006999972,3548.0,2730.0,2928.444,20777.4,105777.81406999972,20.774
11,53409895.70559995,80318.5894111999,3040.0,2720.0,3039.986,20421.216,106819.7914111999,20.52
12,54511112.589999974,81640.05317999994,3604.0,2688.0,3000.772,20777.4,109022.22517999996,20.802000000000003
13,55584151.611199915,82798.74722239983,4284.0,2794.0,3031.124,21054.432,111168.30322239985,21.142
14,52060394.63459984,77625.75326919969,3048.0,2698.0,2907.092,20539.944,104120.78926919968,20.524
15,53621246.000399955,80659.74400079991,3020.0,2610.0,3022.804,20539.944,107242.4920007999,20.51
16,52764174.301599845,78393.6006031997,3464.0,2744.0,2932.924,20737.824,105528.34860319969,20.732
17,53790221.96859988,79387.44793719976,4268.0,3016.0,2989.292,20935.704,107580.44393719976,21.134
18,52914783.03499982,78551.97006999963,3592.000000000001,2758.0,2908.196,20777.4,105829.56606999964,20.796000000000003
19,51866884.43439984,77296.64486879967,3124.0,2802.0,2891.908,20421.216,103733.76886879969,20.562
20,53049427.76839985,78700.3395367997,3644.0,2762.0,2937.54,20816.976,106098.8555367997,20.821999999999996
21,53698475.43539986,79442.18687079972,4020.0,2782.0,2919.908,21014.856,107396.95087079972,21.01
22,53215239.768399864,78812.33953679973,3868.0,2874.0,2933.164,20816.976,106430.47953679971,20.934000000000005
23,53880344.16879989,79636.55633759979,4080.0,2832.0,2989.7,21054.432,107760.6883375998,21.04
24,56226394.33759993,83484.28667519987,4716.0,2878.0,3039.766,21212.736,112452.78867519986,21.357999999999997
25,53644674.70199986,79349.81740399971,4076.0,2834.0,2888.252,20975.28,107289.34940399972,21.038
26,53067036.50179984,78784.7090035997,3564.0,2702.0,2928.812,20856.552,106134.07300359968,20.782
27,51513583.700999856,77016.27540199971,2732.0,2666.0,2897.252,20381.64,103027.16740199972,20.366
28,53163504.50179983,78844.70900359965,3660.0,2762.0,2965.748,20856.552,106327.00900359964,20.83
29,53565270.70199989,79297.81740399977,3924.0,2782.0,2933.444,20975.28,107130.54140399976,20.961999999999996
30,52838154.30159984,78449.60060319968,3556.0,2800.0,2932.884,20737.824,105676.30860319968,20.778
31,58294501.462000065,88834.29492400013,3844.0,2754.0,2935.428,20975.28,116589.00292400012,20.922000000000004
32,53292504.50179986,78912.70900359972,3892.0,2830.0,2923.748,20856.552,106585.00900359971,20.946
33,53901254.70199989,79521.81740399977,4336.000000000001,3006.0,2969.412,20975.28,107802.50940399978,21.168000000000003
34,52262115.36799982,77820.12273599964,3215.9999999999995,2748.0,2908.588,20579.52,104524.23073599963,20.608
35,52300044.10139984,77900.49220279968,3148.0,2684.0,2932.5,20619.096,104600.08820279968,20.574
36,56844969.38260005,87059.72276520009,3208.0,2766.0,2882.272,20539.944,113689.93876520007,20.604000000000003
37,53236345.23519984,78959.07847039968,3708.0,2732.0,2909.484,20896.128,106472.69047039968,20.854
38,53039703.76839988,78692.33953679976,3656.0,2754.0,2914.092,20816.976,106079.40753679976,20.828000000000003
39,56954044.03340002,87276.55406680005,3088.0,2658.0,2924.438,20619.096,113908.08806680005,20.544000000000004
40,50272329.308800034,72682.82261760008,4176.0,2808.0,2789.708,20896.128,100544.65861760009,21.088
41,52971864.501799874,78720.70900359975,3420.0,2638.0,2946.468,20856.552,105943.72900359974,20.709999999999997
42,54257193.29519997,81270.89859039994,3620.0,2770.0,2964.816,20658.672,108514.38659039994,20.809999999999995
43,53601411.43539982,79374.18687079965,3884.0,2714.0,2929.78,21014.856,107202.82287079965,20.941999999999997
44,52433963.36799984,77940.12273599968,3420.0,2868.0,2928.284,20579.52,104867.92673599967,20.709999999999994
45,52715739.03499983,78419.97006999966,3292.0,2626.0,2942.108,20777.4,105431.47806999966,20.645999999999994
46,52815521.56819985,78367.2311363997,3620.0,2862.0,2945.564,20698.248,105631.0431363997,20.81
47,55236421.179599985,82508.36235919996,3948.0,2654.0,3001.624,21014.856,110472.84235919996,20.974000000000004
0,51470207.8,78000.43160000001,2184.0,2808.0,2967.984,19788.0,102940.4156,20.092
1,49728264.69999979,74912.73339999958,1900.0,2728.0,2855.796,19788.0,99456.52939999958,19.95
2,50017632.69999979,75104.73339999958,2260.0,2920.0,2882.532,19788.0,100035.26539999955,20.13
3,49805896.69999979,74964.73339999958,1992.0,2780.0,2867.06,19788.0,99611.79339999956,19.996
4,49727524.69999979,74910.73339999958,1876.0,2726.0,2880.316,19788.0,99455.04939999957,19.938
5,49976540.699999794,75068.73339999959,2216.0,2884.0,2880.348,19788.0,99953.0813999996,20.108
6,54250858.70000001,83947.82540000002,1900.0,2740.0,2865.892,19788.0,108501.71740000002,19.95
7,54405548.70000001,84049.82540000002,2100.0,2842.0,2873.272,19788.0,108811.09740000004,20.049999999999997
8,51194251.8,77812.43160000001,1840.0,2620.0,2948.072,19788.0,102388.5036,19.92
9,49896120.69999979,75022.73339999958,2100.0,2838.0,2881.508,19788.0,99792.24139999958,20.05
10,49856504.699999794,74996.73339999959,2064.0,2812.0,2864.276,19788.0,99713.0093999996,20.032000000000004
11,51194284.8,77808.43160000001,1824.0,2616.0,2968.138,19788.0,102388.5696,19.912000000000003
12,49893144.69999979,75024.73339999958,2100.0,2840.0,2873.556,19788.0,99786.28939999956,20.05
13,49840808.69999979,74992.73339999958,2020.0,2808.0,2880.884,19788.0,99681.61739999958,20.010000000000005
14,49824528.69999979,74972.73339999958,2044.0,2788.0,2844.324,19788.0,99649.05739999955,20.022
15,51260166.8,77852.43160000001,1904.0,2660.0,2975.902,19788.0,102520.3336,19.951999999999995
16,49648636.69999979,74862.73339999958,1784.0,2678.0,2862.54,19788.0,99297.27339999955,19.892000000000007
17,49735948.69999979,74914.73339999958,1896.0,2730.0,2873.164,19788.0,99471.89739999958,19.948000000000004
18,49831756.69999979,74984.73339999958,2000.0,2800.0,2890.78,19788.0,99663.51339999956,20.000000000000004
19,51449124.8,77980.43160000001,2168.0,2788.0,2961.818,19788.0,102898.2496,20.084000000000003
20,51476467.8,77994.43160000001,2236.0,2802.0,2934.504,19788.0,102952.9356,20.118
21,49511076.69999979,74766.73339999958,1592.0,2582.0,2875.42,19788.0,99022.15339999956,19.796000000000003
22,49762996.699999794,74936.73339999959,1916.0,2752.0,2885.26,19788.0,99525.99339999958,19.958
23,51351687.8,77918.43160000001,2012.0,2726.0,2984.944,19788.0,102703.3756,20.006000000000007
24,49716528.69999979,74904.73339999958,1860.0,2720.0,2880.324,19788.0,99433.05739999955,19.93
25,51122351.8,77762.43160000001,1720.0,2570.0,2974.272,19788.0,102244.7036,19.860000000000003
26,51533145.8,78042.43160000001,2320.0,2850.0,2915.86,19788.0,103066.2916,20.160000000000004
27,51254147.8,77850.43160000001,1944.0,2658.0,2925.864,19788.0,102508.2956,19.972
28,49504736.69999979,74764.73339999958,1560.0,2580.0,2896.74,19788.0,99009.47339999958,19.78
29,49622348.69999979,74836.73339999958,1772.0,2652.0,2847.964,19788.0,99244.69739999955,19.885999999999996
30,51470824.8,77998.43160000001,2220.000000000001,2806.0,2935.218,19788.0,102941.6496,20.110000000000003
31,49987056.699999794,75078.73339999959,2252.0,2894.0,2855.38,19788.0,99974.1133999996,20.126
32,49773188.69999979,74948.73339999958,1916.0,2764.0,2893.644,19788.0,99546.37739999958,19.95800000000001
33,49706300.69999979,74896.73339999958,1840.0,2712.0,2887.868,19788.0,99412.60139999958,19.92
34,49635092.69999979,74846.73339999958,1736.0,2662.0,2899.452,19788.0,99270.18539999958,19.868
