Unnamed: 0,m1,m2,m3,m4,m5,m6
0,0,1,1,0,0,1
1,1,1,1,1,0,0
2,1,1,1,1,0,0
3,1,1,1,1,0,0
4,1,1,1,1,0,0
5,1,1,1,1,0,0
6,0,1,1,0,0,1
7,1,1,1,1,0,0
8,0,1,1,0,0,1
9,1,1,1,1,0,0
10,1,1,1,1,0,0
11,0,1,1,0,0,1
12,0,1,1,0,0,1
13,0,1,1,0,0,1
14,1,1,1,1,0,0
15,0,1,1,0,0,1
16,1,1,1,1,0,0
17,1,1,1,1,0,0
18,1,1,1,1,0,0
19,1,1,1,1,0,0
20,1,1,1,1,0,0
21,1,1,1,1,0,0
22,1,1,1,1,0,0
23,1,1,1,1,0,0
24,0,1,1,0,0,1
25,1,1,1,1,0,0
26,1,1,1,1,0,0
27,1,1,1,1,0,0
28,1,1,1,1,0,0
29,1,1,1,1,0,0
30,1,1,1,1,0,0
31,1,1,1,0,0,1
32,1,1,1,1,0,0
33,1,1,1,1,0,0
34,1,1,1,1,0,0
35,1,1,1,1,0,0
36,1,1,1,0,0,1
37,1,1,1,1,0,0
38,1,1,1,1,0,0
39,1,1,1,0,0,1
40,1,1,1,0,0,0
41,1,1,1,1,0,0
42,0,1,1,0,0,1
43,1,1,1,1,0,0
44,1,1,1,1,0,0
45,1,1,1,1,0,0
46,1,1,1,1,0,0
47,0,1,1,0,0,1
0,0,1,1,0,0,1
1,1,1,1,1,0,0
2,1,1,1,1,0,0
3,1,1,1,1,0,0
4,1,1,1,1,0,0
5,1,1,1,1,0,0
6,1,1,1,0,0,1
7,1,1,1,0,0,1
8,0,1,1,0,0,1
9,1,1,1,1,0,0
10,1,1,1,1,0,0
11,0,1,1,0,0,1
12,1,1,1,1,0,0
13,1,1,1,1,0,0
14,1,1,1,1,0,0
15,0,1,1,0,0,1
16,1,1,1,1,0,0
17,1,1,1,1,0,0
18,1,1,1,1,0,0
19,0,1,1,0,0,1
20,0,1,1,0,0,1
21,1,1,1,1,0,0
22,1,1,1,1,0,0
23,0,1,1,0,0,1
24,1,1,1,1,0,0
25,0,1,1,0,0,1
26,0,1,1,0,0,1
27,0,1,1,0,0,1
28,1,1,1,1,0,0
29,1,1,1,1,0,0
30,0,1,1,0,0,1
31,1,1,1,1,0,0
32,1,1,1,1,0,0
33,1,1,1,1,0,0
34,1,1,1,1,0,0
35,1,1,1,1,0,0
36,0,1,1,0,0,1
37,1,1,1,1,0,0
38,1,1,1,1,0,0
39,0,1,1,0,0,1
40,1,1,1,0,0,1
41,0,1,1,0,0,1
42,1,1,1,1,0,0
43,1,1,1,1,0,0
44,0,1,1,0,0,1
45,1,1,1,1,0,0
46,0,1,1,0,0,1
47,1,1,1,1,0,0
